instance_id,size_class,n_stars,n_edges,difficulty_bucket,encoding,solver,solve_time,decisions,n_clauses,n_constraints,n_vars,nodes,satisfiable
stellarium_L_000,L,50,99,easy,sat,Cadical103,2.537504769861698e-05,0.0,661.0,,,,True
stellarium_L_000,L,50,99,easy,smt,Z3,0.0017761250492185354,,,61.0,,,True
stellarium_L_000,L,50,99,easy,ip,Gurobi,0.0004117500502616167,,,50.0,99.0,0.0,True
stellarium_L_001,L,49,92,easy,sat,Cadical103,2.3999949917197227e-05,0.0,587.0,,,,True
stellarium_L_001,L,49,92,easy,smt,Z3,0.0007269589696079493,,,57.0,,,True
stellarium_L_001,L,49,92,easy,ip,Gurobi,0.0001235830131918192,,,49.0,92.0,0.0,True
stellarium_L_002,L,48,95,easy,sat,Cadical103,2.5499844923615456e-05,0.0,587.0,,,,True
stellarium_L_002,L,48,95,easy,smt,Z3,0.011782458052039146,,,63.0,,,True
stellarium_L_002,L,48,95,easy,ip,Gurobi,0.00011583301238715649,,,48.0,95.0,0.0,True
stellarium_L_003,L,54,97,easy,sat,Cadical103,2.27498821914196e-05,0.0,621.0,,,,True
stellarium_L_003,L,54,97,easy,smt,Z3,0.000850458862259984,,,64.0,,,True
stellarium_L_003,L,54,97,easy,ip,Gurobi,0.00015941611491143703,,,54.0,97.0,0.0,True
stellarium_L_004,L,50,90,easy,sat,Cadical103,2.1167099475860596e-05,0.0,561.0,,,,True
stellarium_L_004,L,50,90,easy,smt,Z3,0.0006471660453826189,,,52.0,,,True
stellarium_L_004,L,50,90,easy,ip,Gurobi,0.0001247089821845293,,,50.0,90.0,0.0,True
stellarium_L_005,L,55,131,hard,sat,Cadical103,4.12908848375082e-05,3.0,861.0,,,,True
stellarium_L_005,L,55,131,hard,smt,Z3,0.0014691250398755074,,,102.0,,,True
stellarium_L_005,L,55,131,hard,ip,Gurobi,0.00031566713005304337,,,55.0,131.0,0.0,True
stellarium_L_006,L,51,96,easy,sat,Cadical103,1.8541933968663216e-05,0.0,608.0,,,,True
stellarium_L_006,L,51,96,easy,smt,Z3,0.0007523330859839916,,,58.0,,,True
stellarium_L_006,L,51,96,easy,ip,Gurobi,0.00024516601115465164,,,51.0,96.0,0.0,True
stellarium_L_007,L,55,118,easy,sat,Cadical103,3.374996595084667e-05,0.0,757.0,,,,True
stellarium_L_007,L,55,118,easy,smt,Z3,0.001259000040590763,,,95.0,,,True
stellarium_L_007,L,55,118,easy,ip,Gurobi,0.0006872080266475677,,,55.0,118.0,0.0,True
